CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,MR.,JON,YANG,08-04-1966,M,M,jon.yangnobethanalytics.com,90000,2,Bachelors,Professional,Y
11001,MR.,EUGENE,HUANG,14-05-1965,S,M,eugene.huangnobethanalytics.com,60000,3,Bachelors,Professional,N
11002,MR.,RUBEN,TORRES,12-08-1965,M,M,ruben.torresnobethanalytics.com,60000,3,Bachelors,Professional,Y
11003,MS.,CHRISTY,ZHU,15-02-1968,S,F,christy.zhunobethanalytics.com,70000,0,Bachelors,Professional,N
11004,MRS.,ELIZABETH,JOHNSON,08-08-1968,S,F,elizabeth.johnsonnobethanalytics.com,80000,5,Bachelors,Professional,Y
11005,MR.,JULIO,RUIZ,05-08-1965,S,M,julio.ruiznobethanalytics.com,70000,0,Bachelors,Professional,Y
11007,MR.,MARCO,MEHTA,09-05-1964,M,M,marco.mehtanobethanalytics.com,60000,3,Bachelors,Professional,Y
11008,MRS.,ROBIN,VERHOFF,07-07-1964,S,F,robin.verhoffnobethanalytics.com,60000,4,Bachelors,Professional,Y
11009,MR.,SHANNON,CARLSON,01-04-1964,S,M,shannon.carlsonnobethanalytics.com,70000,0,Bachelors,Professional,N
11010,MS.,JACQUELYN,SUAREZ,06-02-1964,S,F,jacquelyn.suareznobethanalytics.com,70000,0,Bachelors,Professional,N
11011,MR.,CURTIS,LU,04-11-1963,M,M,curtis.lunobethanalytics.com,60000,4,Bachelors,Professional,Y
11012,MRS.,LAUREN,WALKER,18-01-1968,M,F,lauren.walkernobethanalytics.com,100000,2,Bachelors,Management,Y
11013,MR.,IAN,JENKINS,06-08-1968,M,M,ian.jenkinsnobethanalytics.com,100000,2,Bachelors,Management,Y
11014,MRS.,SYDNEY,BENNETT,09-05-1968,S,F,sydney.bennettnobethanalytics.com,100000,3,Bachelors,Management,N
11015,MS.,CHLOE,YOUNG,27-02-1979,S,F,chloe.youngnobethanalytics.com,30000,0,Partial College,Skilled Manual,N
11016,MR.,WYATT,HILL,28-04-1979,M,M,wyatt.hillnobethanalytics.com,30000,0,Partial College,Skilled Manual,Y
11017,MRS.,SHANNON,WANG,26-06-1944,S,F,shannon.wangnobethanalytics.com,20000,4,High School,Skilled Manual,Y
11018,MR.,CLARENCE,RAI,09-10-1944,S,M,clarence.rainobethanalytics.com,30000,2,Partial College,Clerical,Y
11019,MR.,LUKE,LAL,07-03-1978,S,M,luke.lalnobethanalytics.com,40000,0,High School,Skilled Manual,N
11020,MR.,JORDAN,KING,20-09-1978,S,M,jordan.kingnobethanalytics.com,40000,0,High School,Skilled Manual,N
